Nodes Current_Node  Objective_Bounds Work  Incumbent BestBd   Gap  Depth Time         
 72311 56136  555.18005  286 1078  444.29459 5024.00000  1031%   379 5479s
 73176 56782  709.23740  292 1253  444.29459 5024.00000  1031%   378 5535s
 73898 57455  571.39607  296  986  444.29459 5024.00000  1031%   380 5575s
 74640 57788  637.40673  308  971  444.29459 5024.00000  1031%   379 5620s
 75007 58557  540.68405  310  766  444.29459 5024.00000  1031%   381 5671s
 75902 59126  496.90652  540  515  444.29459 5024.00000  1031%   383 5718s
 76535 59591 4259.72257   89 2040  444.29459 5024.00000  1031%   385 5760s
 77042 59963 1498.50469  185 1845  444.29459 5024.00000  1031%   387 5818s
 77468 60230  829.27644  217 1782  444.29459 5024.00000  1031%   389 5891s
 77771 60459  596.85100  303 1384  444.29459 5024.00000  1031%   393 5931s
 78008 61145  577.81620  370 1306  444.29459 5024.00000  1031%   395 5979s
 78720 61226  545.92062  519 1164  444.29459 5024.00000  1031%   395 6017s
 78801 62031  545.03863  520 1164  444.29459 5024.00000  1031%   395 6053s
 79648 62408  497.16123  756  920  444.29459 5024.00000  1031%   393 6135s
H80029 54934                     489.9849886 5024.00000   925%   392 6307s
 80136 55124  496.49302  770  898  489.98499 5024.00000   925%   392 6356s
 80388 55702 4857.04543   66 2060  489.98499 5024.00000   925%   392 6403s
 81072 56270 4379.42768   70 1899  489.98499 5024.00000   925%   393 6486s
 81806 56872 1026.14152  138  832  489.98499 5024.00000   925%   395 6534s
 82470 57529 4676.65952   39 2068  489.98499 5024.00000   925%   397 6588s
 83207 58339 3241.85986  106 1600  489.98499 5024.00000   925%   400 6643s
 84035 59189  588.79730  268  587  489.98499 5024.00000   925%   403 6699s
 85007 59439  910.27105  185  439  489.98499 5024.00000   925%   405 6743s
 85298 59882  808.91000  191  446  489.98499 5024.00000   925%   407 6793s
 85845 60562 4775.21866   63 2127  489.98499 5024.00000   925%   409 6845s
 86572 61032 1081.15671  188 1467  489.98499 5024.00000   925%   411 6883s
 87091 61569 4138.47976  135 2126  489.98499 5024.00000   925%   413 6937s
 87648 62089  760.30576  210 1768  489.98499 5024.00000   925%   416 6990s
 88204 62450  579.08486  295 1376  489.98499 5024.00000   925%   419 7027s
 88569 63693  518.29219  421 1249  489.98499 5024.00000   925%   418 7065s
 89865 64785  508.86828  671 1001  489.98499 5024.00000   925%   413 7098s
 90965 65782  493.05577  921  753  489.98499 5024.00000   925%   409 7135s
 92029 66335 4150.97901   86 1782  489.98499 5024.00000   925%   407 7168s
 92665 66831  645.93163  169  460  489.98499 5024.00000   925%   408 7209s
H93239 66846                     490.0035806 5024.00000   925%   408 7240s
 93266 66849     cutoff  176       490.00358 5024.00000   925%   408 7468s
H93271 60403                     514.5091399 5024.00000   876%   408 7468s
 93275 60409 5024.00000   60 2103  514.50914 5024.00000   876%   408 7555s
H93280 60409                     514.5091415 5024.00000   876%   408 7555s
 93281 60591 5024.00000   61 2101  514.50914 5024.00000   876%   408 7583s
 93463 60721 3447.77263  130 1901  514.50914 5024.00000   876%   409 7611s
 93609 61397 1895.25034  169 1770  514.50914 5024.00000   876%   409 7657s
 94378 62000 4364.61067   71 1873  514.50914 5024.00000   876%   409 7697s
 95031 62225 4544.20293   83 1905  514.50914 5024.00000   876%   410 7741s
 95276 62923 1763.25511  176 1398  514.50914 5024.00000   876%   411 7788s
 96069 63234 4260.23536   92 2067  514.50914 5024.00000   876%   411 7823s
 96424 63702 2148.64772  117 1106  514.50914 5024.00000   876%   412 7861s
 97052 64183     cutoff  161       514.50914 5024.00000   876%   412 7912s
 97825 64583 3615.14097   94 2021  514.50914 5024.00000   876%   413 7951s
 98313 64891  683.29042  163 1008  514.50914 5024.00000   876%   414 7985s
 98658 65495 4499.13268   63 2020  514.50914 5024.00000   876%   415 8029s
 99339 65937 1331.07695  186 1409  514.50914 5024.00000   876%   417 8073s
 99879 66193 infeasible  191       514.50914 5024.00000   876%   420 8108s
 100165 66382 2629.74584  159 1595  514.50914 5024.00000   876%   421 8195s
 100477 66837  602.05165  182  519  514.50914 5024.00000   876%   423 8233s
 100970 67595 4692.04482  124 2073  514.50914 5024.00000   876%   424 8280s
 101778 68290 3539.13055  191 1986  514.50914 5024.00000   876%   426 8327s
 102569 68730 4930.06633   45 2074  514.50914 5024.00000   876%   427 8377s
 103061 68963 2841.27892  173 1877  514.50914 5024.00000   876%   430 8427s
 103294 69332 1731.92276  200 1752  514.50914 5024.00000   876%   431 8481s
 103723 70019 1221.29587  211 1801  514.50914 5024.00000   876%   434 8540s
 104450 70637  770.78534  292 1567  514.50914 5024.00000   876%   435 8591s
 105128 71322  558.47050  334 1308  514.50914 5024.00000   876%   436 8640s
 105839 71807  520.12027  548 1065  514.50914 5024.00000   876%   435 8676s
 106453 72192 4738.07532   62 2073  514.50914 5024.00000   876%   435 8719s
 106883 72390 1757.68402   77 1081  514.50914 5024.00000   876%   437 8762s
 107119 72728 1208.75564   98  821  514.50914 5024.00000   876%   439 8855s
 107552 72734  538.24420  121  778  514.50914 5024.00000   876%   440 9084s
H107553 72734                     514.5091447 5024.00000   876%   440 9084s
H107557 63896                     548.5034206 5024.00000   816%   440 9084s
 107558 64126     cutoff  122       548.50342 5024.00000   816%   440 9117s
 107810 64132 4180.41525  109 1995  548.50342 5024.00000   816%   440 9207s
H107811 64132                     548.5034213 5024.00000   816%   440 9207s
H107814 64132                     548.5034221 5024.00000   816%   440 9207s
 107816 64414 4180.38616  110 1994  548.50342 5024.00000   816%   440 9239s
 108118 65121 3172.98285  145 1867  548.50342 5024.00000   816%   442 9286s
 108919 65801 1524.66109  179 1734  548.50342 5024.00000   816%   443 9332s
 109628 66575 1110.33743  191 1679  548.50342 5024.00000   816%   444 9372s
 110439 67229 1040.56732  201 1639  548.50342 5024.00000   816%   443 9409s
 111148 67758  659.66057  205 1618  548.50342 5024.00000   816%   442 9467s
 111748 68134 4667.14560   69 2103  548.50342 5024.00000   816%   442 9508s
 112271 68456  962.67464  115  410  548.50342 5024.00000   816%   443 9559s
 112621 68971  731.84370  131  539  548.50342 5024.00000   816%   444 9612s
 113367 69505 1001.00456  122  676  548.50342 5024.00000   816%   445 9664s
 113997 69760 4067.31035   86 1776  548.50342 5024.00000   816%   447 9713s
 114336 70074  826.75746  149  621  548.50342 5024.00000   816%   449 9765s
 114808 70472 2019.84775   86 1109  548.50342 5024.00000   816%   451 9814s
 115246 70830 4135.66004  121 2084  548.50342 5024.00000   816%   453 9883s
 115638 71516  696.95900  208 1282  548.50342 5024.00000   816%   456 9961s
 116376 72097 infeasible  193       548.50342 5024.00000   816%   460 10044s
 117064 72452     cutoff  202       548.50342 5024.00000   816%   462 10112s
 117429 72934 1456.82308  185 1484  548.50342 5024.00000   816%   464 10192s
 117973 73696 3932.01304  123 1927  548.50342 5024.00000   816%   467 10270s
 118846 74767  623.59904  288 1581  548.50342 5024.00000   816%   468 10346s
 120025 75546 3670.88370  118 1844  548.50342 5024.00000   816%   468 10427s
 120913 75965  683.17295  187  654  548.50342 5024.00000   816%   471 10506s
H121410 76456                     548.5485826 5024.00000   816%   473 10643s
 122024 76867  669.39219  186  661  548.54858 5024.00000   816%   475 10716s
 122547 76871 infeasible  185       548.54858 5024.00000   816%   476 10982s
 122555 77309  652.53829  189  660  548.54858 5024.00000   816%   477 11056s
 123050 78082  568.31712  190  606  548.54858 5024.00000   816%   478 11163s
 124041 78659  836.44607  142  763  548.54858 5024.00000   816%   479 11248s
 124731 79102 4488.11368   65 2172  548.54858 5024.00000   816%   481 11323s
 125204 79690 2592.69169   65 1224  548.54858 5024.00000   816%   483 11405s
 125830 80860 1697.90373   89 1208  548.54858 5024.00000   816%   484 11485s
 127147 81648 4905.75670   46 2093  548.54858 5024.00000   816%   483 11626s
H127825 81648                     548.5485884 5024.00000   816%   485 11626s
 127963 81909 infeasible  200       548.54859 5024.00000   816%   485 11705s
 128286 82957 2076.77119   82  929  548.54859 5024.00000   816%   487 11798s
 129601 83891 1343.56265  131 1085  548.54859 5024.00000   816%   489 11891s
 130670 84819 4152.72011  144 2025  548.54859 5024.00000   816%   491 11993s
 131644 85614  790.31825  175  591  548.54859 5024.00000   816%   496 12085s
